id,car_id,descricao
1,1,4X4
2,1,Câmeradeestacionamento
3,1,Controledetração
4,1,Sensordeestacionamento
5,2,Câmeradeestacionamento
6,2,Controledeestabilidade
7,2,Travaselétricas
8,2,FreiosABS
9,3,Centralmultimídia
10,3,Bancosdecouro
11,3,Rodasdeliga
12,3,Câmeradeestacionamento
13,4,Bancosdecouro
14,4,FreiosABS
15,4,Rodasdeliga
16,4,Câmbioautomático
17,5,Centralmultimídia
18,5,Tetopanorâmico
19,5,Sensorcrepuscular
20,5,Pilotoautomático
21,6,Paineldigital
22,6,Controledetração
23,6,Tetopanorâmico
24,6,Centralmultimídia
25,7,4X4
26,7,Tetopanorâmico
27,7,Centralmultimídia
28,7,Controledeestabilidade
29,8,Paineldigital
30,8,Câmbioautomático
31,8,Sensordechuva
32,8,Travaselétricas
33,9,Centralmultimídia
34,9,Câmeradeestacionamento
35,9,Câmbioautomático
36,9,Arcondicionado
37,10,Bancosdecouro
38,10,FreiosABS
39,10,Pilotoautomático
40,10,Controledeestabilidade
40,10,Tetopanorâmico
41,10,Controledetração
42,10,Sensorcrepuscular
43,10,4X4
44,11,Arcondicionado
45,11,Travaselétricas
46,11,Rodasdeliga
47,11,Bancosdecouro
48,12,Pilotoautomático
49,12,Paineldigital
50,12,Arcondicionado
51,12,Vidroselétricos
52,13,Sensorcrepuscular
53,13,Paineldigital
54,13,Tetopanorâmico
55,13,Vidroselétricos
56,14,4X4
57,14,Câmeradeestacionamento
58,14,Paineldigital
59,14,Controledetração
60,15,Rodasdeliga
61,15,Bancosdecouro
62,15,FreiosABS
63,15,Travaselétricas
64,16,FreiosABS
65,16,Pilotoautomático
66,16,Controledeestabilidade
67,16,Vidroselétricos
68,17,Sensordeestacionamento
69,17,Arcondicionado
70,17,Centralmultimídia
71,17,Travaselétricas
72,18,Rodasdeliga
73,18,Controledetração
74,18,FreiosABS
75,18,Sensordeestacionamento
76,19,Paineldigital
77,19,Centralmultimídia
78,19,Vidroselétricos
79,19,Arcondicionado
80,20,Tetopanorâmico
81,20,Controledetração
82,20,Sensorcrepuscular
83,20,4X4
84,21,Arcondicionado
85,21,Travaselétricas
86,21,Rodasdeliga
87,21,Bancosdecouro
88,22,Pilotoautomático
89,22,Paineldigital
90,22,Arcondicionado
91,22,Vidroselétricos
92,23,Sensorcrepuscular
93,23,Paineldigital
94,23,Tetopanorâmico
95,23,Vidroselétricos
96,24,4X4
97,24,Câmeradeestacionamento
98,24,Paineldigital
99,24,Controledetração
100,25,Rodasdeliga
101,25,Bancosdecouro
102,25,FreiosABS
103,25,Travaselétricas
104,26,FreiosABS
105,26,Pilotoautomático
106,26,Controledeestabilidade
107,26,Vidroselétricos
108,27,Sensordeestacionamento
109,27,Arcondicionado
110,27,Centralmultimídia
111,27,Travaselétricas
112,28,Rodasdeliga
113,28,Controledetração
114,28,FreiosABS
115,28,Sensordeestacionamento
116,29,Paineldigital
117,29,Centralmultimídia
118,29,Vidroselétricos
119,29,Arcondicionado
120,30,Tetopanorâmico
121,30,Controledetração
122,30,Sensorcrepuscular
123,30,4X4
124,31,Arcondicionado
125,31,Travaselétricas
126,31,Rodasdeliga
127,31,Bancosdecouro
128,32,Pilotoautomático
129,32,Paineldigital
130,32,Arcondicionado
131,32,Vidroselétricos
132,33,Sensorcrepuscular
133,33,Paineldigital
134,33,Tetopanorâmico
135,33,Vidroselétricos
136,34,4X4
137,34,Câmeradeestacionamento
138,34,Paineldigital
139,34,Controledetração
140,35,Rodasdeliga
141,35,Bancosdecouro
142,35,FreiosABS
143,35,Travaselétricas
144,36,FreiosABS
145,36,Pilotoautomático
146,36,Controledeestabilidade
147,36,Vidroselétricos
148,37,Sensordeestacionamento
149,37,Arcondicionado
150,37,Centralmultimídia
151,37,Travaselétricas
152,38,Rodasdeliga
153,38,Controledetração
154,38,FreiosABS
155,38,Sensordeestacionamento
156,39,Paineldigital
157,39,Centralmultimídia
158,39,Vidroselétricos
159,39,Arcondicionado
160,40,Tetopanorâmico
161,40,Controledetração
162,40,Sensorcrepuscular
163,40,4X4
164,41,Arcondicionado
165,41,Travaselétricas
166,41,Rodasdeliga
167,41,Bancosdecouro
168,42,Pilotoautomático
169,42,Paineldigital
170,42,Arcondicionado
171,42,Vidroselétricos
172,43,Sensorcrepuscular
173,43,Paineldigital
174,43,Tetopanorâmico
175,43,Vidroselétricos
176,44,4X4
177,44,Câmeradeestacionamento
178,44,Paineldigital
179,44,Controledetração
180,45,Rodasdeliga
181,45,Bancosdecouro
182,45,FreiosABS
183,45,Travaselétricas
184,46,FreiosABS
185,46,Pilotoautomático
186,46,Controledeestabilidade
187,46,Vidroselétricos
188,47,Sensordeestacionamento
189,47,Arcondicionado
190,47,Centralmultimídia
191,47,Travaselétricas
192,48,Rodasdeliga
193,48,Controledetração
194,48,FreiosABS
195,48,Sensordeestacionamento
196,49,Paineldigital
197,49,Centralmultimídia
198,49,Vidroselétricos
199,49,Arcondicionado
200,50,Tetopanorâmico
201,50,Controledetração
202,50,Sensorcrepuscular
203,50,4X4
204,51,Arcondicionado
205,51,Travaselétricas
206,51,Rodasdeliga
207,51,Bancosdecouro
208,52,Pilotoautomático
209,52,Paineldigital
210,52,Arcondicionado
211,52,Vidroselétricos
212,53,Sensorcrepuscular
213,53,Paineldigital
214,53,Tetopanorâmico
215,53,Vidroselétricos
216,54,4X4
217,54,Câmeradeestacionamento
218,54,Paineldigital
219,54,Controledetração
220,55,Rodasdeliga
221,55,Bancosdecouro
222,55,FreiosABS
223,55,Travaselétricas
224,56,FreiosABS
225,56,Pilotoautomático
226,56,Controledeestabilidade
227,56,Vidroselétricos
228,57,Sensordeestacionamento
229,57,Arcondicionado
230,57,Centralmultimídia
231,57,Travaselétricas
232,58,Rodasdeliga
233,58,Controledetração
234,58,FreiosABS
235,58,Sensordeestacionamento
236,59,Paineldigital
237,59,Centralmultimídia
238,59,Vidroselétricos
239,59,Arcondicionado
240,60,Tetopanorâmico
241,60,Controledetração
242,60,Sensorcrepuscular
243,60,4X4
244,61,Arcondicionado
